Ticker,Strike,Jul 24 GEX,Jul 24 VEX,Jul 31 GEX,Jul 31 VEX,Aug 7 GEX,Aug 7 VEX,Aug 14 GEX,Aug 14 VEX,Aug 21 GEX,Aug 21 VEX,Total GEX,Total VEX
AAOI,102,7509,-17,-1859,-20,1451,45,97,4,,,7198,11
AAOI,101,37566,-312,152,1,,,,,,,37718,-310
AAOI,100,-49471,880,-217312,661,-8749,-125,-15584,-443,-38466,-1466,-329582,-494
AAOI,99,-2281,66,-5007,54,-221,-2,,,,,-7508,118
AAOI,98,-6588,212,-5334,103,,,,,,,-11922,315
AAOI,97,-3504,135,-1554,40,,,,,,,-5058,175
AAOI,96,2970,-155,-2620,88,,,,,,,351,-67
AAOI,95,-79771,4213,-22637,931,-11801,188,-1917,12,-32549,-92,-148675,5251
AAOI,94,-5898,359,306,-16,,,,,,,-5592,342
AAOI,93,-5207,356,-143,8,,,,,-86,1,-5437,365
AAOI,92,-19453,1415,-140,9,-599,21,,,,,-20192,1445
AAOI,91,-2914,214,-544,39,,,,,,,-3458,253
AAOI,90,-119305,8015,-33099,2618,-83320,4013,-2858,123,-21705,756,-260287,15525
AAOI,89,-2635,231,-1672,146,,,,,,,-4306,377
AAOI,88,-7220,567,-124,12,,,,,,,-7344,579
AAOI,87,-3087,261,-1666,169,,,,,-79,5,-4832,435
AAOI,86,-6611,641,-230,25,,,,,,,-6841,666
AAOI,85,-33637,3314,-12698,1469,-12702,1079,-3368,271,-65397,4824,-127801,10957
AAOI,84,-5093,504,-1146,141,,,,,,,-6238,644
AAOI,83,4732,-482,-1000,123,,,,,,,3731,-359
AAOI,82,1150,-111,-96,13,,,,,,,1054,-97
AAOI,81,1649,-154,-361,52,,,,,,,1288,-102
AAOI,80,-37277,4653,-9141,1281,-5736,645,-1807,218,-33872,3931,-87833,10728
AAOI,79,-2246,300,-81,12,,,,,,,-2327,312
AAOI,78,-19712,3005,-76,12,,,,,,,-19788,3018
AAOI,77,16235,-2285,-716,120,,,,,,,15519,-2165
AAOI,76,12518,-1911,,,,,,,,,12518,-1911
AAOI,75,-3720,540,-6545,1157,-3265,479,-3575,579,-11605,1839,-28710,4593
AAOI,74,-81,12,-295,55,,,,,,,-376,68
AAOI,73,61,-25,,,,,,,,,61,-25
AAOI,72,348,-66,-922,186,,,,,,,-574,120
AAOI,71,249,-39,,,,,,,,,249,-39
AAOI,70,-4641,819,-65671,13628,-1656,310,-412,82,-8012,1584,-80392,16421
AAOI,69,-6,2,-82,18,,,,,,,-88,20
AAOI,68,-149,23,-37,9,,,,,,,-186,32
AAOI,67,99,-19,-35,8,,,,,,,64,-11
AAOI,66,,,-63,16,,,,,,,-63,16
AAOI,65,-29356,5423,-3573,867,-401,89,-573,139,-3727,891,-37630,7408
AAOI,60,-1500,309,-3220,998,-6470,1711,-969,275,-3496,1028,-15655,4320
AAOI,55,-70,16,-199,68,-22,6,,,-733,249,-1024,340
AAOI,50,0,0,-72,27,-315,109,-32,12,-279,109,-698,258
